,RMSE,NRMSE,MAPE
0.05,75400326513353.88,5865396307199.68,901598973723.3779
0.1,8.122212072358886e+19,5.29884746421842e+18,6.483919812020541e+17
0.15,336351035536347.0,26574475057460.273,5681677349506.077
0.2,1.9297883146945114e+18,1.2790415085106942e+17,1.6868798813794174e+16
0.25,4.032705371133819e+16,2710783024926375.0,285935999933540.8
0.30,2.6307163410725296e+16,1821751532406589.0,155713207567056.28
0.35,5357455.730196364,496052.2141842652,89935.23285985261
0.4,2827021.642273245,216632.6010267943,25955.81994629917
0.45,27623560049.540985,1903251486.4307926,174031290.97687167
0.5,2666.488276049138,279.5791912586832,37.81337969634333
0.55,2581991.697118576,176318.1002380623,29604.79494248676
0.60,33985150.51184301,2603921.781547523,472730.8200694587
0.65,19.379777841487197,1.3326835491867621,0.4715774184262805
0.70,20277.877762607084,1910.1583798011675,373.9303250648363
0.75,195088.60094343722,15592.19231025504,4179.68903487983
0.8,652430698.295976,43599490.3107031,6995677.046751277
0.85,721.4102927653871,48.735812837799365,10.251391136143608
0.9,22.16598533947463,2.328649815999512,0.6422863749580687
0.95,269.7961309632781,17.71447932728359,3.865229373303112
1.0,75926256556927.38,5075729743332.441,737587847720.8887
