,RMSE,NRMSE,MAPE
0.05,0.05864155059066176,0.0045710472870884224,0.0018251154154934127
0.1,0.06926791028485306,0.005572701669016385,0.0020548030545212616
0.15,0.08252015681947322,0.006804248279610628,0.0023211891682459176
0.2,0.07220726690408709,0.00539783225880844,0.0021406776415872943
0.25,0.0750301279232152,0.005877032087922405,0.0019909033184857773
0.30,0.11760421464710277,0.008827186312341608,0.0035302516878706674
0.35,0.07201370163885822,0.005689354957293261,0.002127929829814362
0.4,0.14022222898886022,0.014480875816702191,0.0037010393382308424
0.45,0.2418525753620837,0.018732767299323418,0.006017424736563859
0.5,0.2616746902834986,0.019235508243019738,0.007196656893950753
0.55,0.08569898385426106,0.005855048658479926,0.0023289036294012197
0.60,0.11373394108524032,0.007614053853345645,0.0034506832777431466
0.65,0.06628257855957581,0.004914659294933526,0.001920289759813884
0.70,0.0840595304346159,0.0058773027374026746,0.0024578031701438267
0.75,0.05358780867058752,0.004059159145025381,0.0016561502209399095
0.8,0.11850130834846623,0.009144071969825831,0.0030696307715933897
0.85,0.0780702416608289,0.0060297861805803125,0.0020407874801603477
0.9,0.049770073870678416,0.005175043931754284,0.0014545992671961398
0.95,0.06587607478259723,0.004488899450135125,0.0018866728247375025
1.0,,,
