,RMSE,NRMSE,MAPE
0.05,0.0542575289851444,0.005165166906884376,0.0015699269885434386
0.1,0.06199887741848944,0.004617335578297082,0.0018485958014605288
0.15,0.04291379623156974,0.004897896490702121,0.0012306027814943635
0.2,0.08666387734380793,0.006801338920616145,0.0022420049128957747
0.25,0.11395995700181194,0.007703067522078815,0.0031265455108729916
0.30,0.4800206421645046,0.03179472185877609,0.01011875258295257
0.35,0.11193271524143414,0.009240978470422954,0.003073702892369842
0.4,0.053230438640030464,0.00478248675189622,0.0014128475097603785
0.45,0.07949891622872879,0.005488549543268597,0.0022892801796118066
0.5,0.13472949655979566,0.010733786301272183,0.004496771281591708
0.55,0.12307632125890502,0.008652673622582206,0.0033349700300107474
0.60,0.17837056434454518,0.0147714850282363,0.004623833138521093
0.65,0.1488709669132667,0.0118895979387172,0.004006992514118096
0.70,0.06710998532073582,0.006005353743966324,0.002051546379271892
0.75,0.1156439196182551,0.008970920168977867,0.0030471534877923607
0.8,0.06154137870471657,0.004220808987314521,0.0016591544187166364
0.85,0.06866249290272422,0.0061973597720713335,0.0020696869482440695
0.9,0.060162368895864037,0.0054811193327113815,0.0016657606056115284
0.95,0.059100904562220474,0.005159932242330167,0.0017882081479403777
