,RMSE,NRMSE,MAPE
50,0.14038454458882244,0.010659864944113005,0.0030359070048709166
100,3.4512444073659125,0.26638029995280016,0.09060379695812001
150,0.6728288917490302,0.05397547195428535,0.015575934149683196
200,4.739618469300863,0.3254458704316852,0.09969488347690982
250,4.306473164556258,0.2962392737356617,0.08549178605018048
300,5.304098173716902,0.3684702963143822,0.09319336926082375
350,7.034661172286588,0.47931023275178253,0.18190738086331193
400,4.22310297822597,0.30214985579727766,0.07296125349821234
450,7.677690904411682,0.5038532112054371,0.1870888975196202
500,3.0544304566101355,0.21495739602107336,0.06553988359654817
