,RMSE,nrmse,mape
10,0.2214958141966244,0.10202632490114853,0.004686344315106543
9,0.32717335337945663,0.3404389451796656,0.055439832185834176
8,0.18819613336731442,0.1184533887141252,0.01735426438666055
7,0.6721162559365609,0.326370292538492,0.04299975776669925
6,0.16650435674356048,0.07834274385483596,0.008969711162637856
5,0.3114854304639541,0.17709192365772652,0.06814918064643612
4,0.34234816245304794,0.16750137804063453,0.050313465906166754
3,0.35099883722375896,0.18358287657027905,0.0686598815697655
2,0.48632571695889465,0.2890140481696853,0.1287038828534528
1,0.3006482150563987,0.15700665383711912,0.0356347160443804
0,0.23989347076245918,0.12891424659930023,0.03628648581977059
